	Length	Tokens	Avg Token Length	Entities	Avg Entity Length	Density	B-COM	I-COM	B-BRAND	I-BRAND	B-DEV	I-DEV	O
0	36	['patches', 'were', 'applied', 'for', '2d', 'to', 'the', 'upper', 'back', ',', 'using', 'finn', 'chambers', 'ò', '$UNK$', '$UNK$', 'oy', ',', 'helsinki', ',', 'finland', '$UNK$', 'and', '$UNK$', 'ò', 'tape', '$UNK$', 'norges', 'plaster', 'a/s', ',', 'oslo', ',', 'norway', '$UNK$', '.']	3.9444444444444446	['finn', 'chambers', 'ò', '$UNK$', 'oy', '$UNK$', 'ò', 'tape', 'norges', 'plaster', 'a/s']	4.181818181818182	30.555555555555557	2	3	2	4	0	0	25
1	28	['patient', 'dosimetry', 'is', 'performed', 'using', 'external', '$UNK$', '$UNK$', 'rti', 'electronics', 'ab', ',', 'gothenburg', ',', 'sweden', '$UNK$', 'and', '$UNK$', 'films', '$UNK$', '$UNK$', '$UNK$', ',', 'international', 'specialty', 'products', '$UNK$', '.']	5.5	['$UNK$', 'rti', 'electronics', 'ab', '$UNK$', 'films', '$UNK$', '$UNK$', 'international', 'specialty', 'products']	6.454545454545454	39.285714285714285	2	4	2	1	1	1	17
2	70	"['the', 'amplifications', 'of', 'the', 'samples', 'were', 'carried', 'out', 'in', 'a', 'final', 'volume', 'of', '$NUM$', 'l', 'using', '$UNK$', 'probe', 'rt-pcr', 'kit', '$UNK$', 'qiagen', 'gmbh', ',', 'hilden', ',', 'germany', '$UNK$', 'according', 'to', 'manufacturer', ""'s"", 'specifications', 'with', 'primers', 'from', '$UNK$', 'biotech', '$UNK$', 'hradec', 'králové', ',', 'czech', 'republic', '$UNK$', 'and', 'specific', '$UNK$', 'probes', 'from', 'the', 'universal', 'probe', 'library', '$UNK$', 'roche', 'diagnostics', 'gmbh', ',', 'mannheim', ',', 'germany', '$UNK$', 'that', 'are', 'listed', 'in', 'table', '$NUM$', '.']"	5.0	['$UNK$', '$UNK$']	5.0	2.857142857142857	2	0	0	0	0	0	68
3	45	['fungal', 'genomic', 'dna', 'and', 'lambda', 'dna', 'was', 'transferred', 'to', 'amersham', '$UNK$', '+', 'filters', '$UNK$', 'ge', 'healthcare', 'limited', ',', 'freiburg', ',', 'germany', '$UNK$', 'after', 'digestion', 'with', 'restriction', 'enzymes', 'and', 'size', 'separation', 'on', 'a', '$NUM$', '%', 'agarose', 'gel', 'according', 'to', 'sambrook', 'and', 'associates', '$UNK$', '$NUM$', '$UNK$', '.']	5.133333333333334	['amersham', '$UNK$', '+', 'filters', 'ge', 'healthcare', 'limited']	5.714285714285714	15.555555555555555	1	2	1	3	0	0	38
4	30	['$UNK$', 'post-surgery', 'care', 'one', 'hour', 'before', 'operation', ',', 'buprenorphine', '$UNK$', '0.05', 'mg/kg', ';', 'rb', 'pharmaceuticals', 'ltd', ',', 'berkshire', ',', 'uk', '$UNK$', 'was', 'administrated', 'subcutaneously', '$UNK$', '$UNK$', '$UNK$', 'as', 'analgesic', '.']	5.566666666666666	['rb', 'pharmaceuticals', 'ltd']	6.666666666666667	10.0	1	2	0	0	0	0	27
5	57	['heart', 'rate', ',', 'as', 'an', 'indicator', 'for', 'autonomic', 'stress', 'responsiveness', ',', 'was', 'measured', 'using', 'a', 'portable', 'heart', 'rate', 'monitoring', 'device', '$UNK$', 'polar', '$UNK$', ',', 'polar', 'electro', 'oy', ',', '$UNK$', ',', 'finland', '$UNK$', ',', 'with', 'aggregated', '$UNK$', 'analyses', 'in', '$UNK$', 'intervals', '$UNK$', '$UNK$', '$UNK$', 'from', '$UNK$', 'to', '+5', 'min', 'relative', 'to', 'the', 'stressor', '$UNK$', '$NUM$', 'units', '$UNK$', '.']	4.771929824561403	['$UNK$']	5.0	1.7543859649122806	0	0	1	0	0	0	56
6	18	['at', '$NUM$', '$UNK$', 'reactivity', 'of', 'the', 'polyclonal', 'phage', 'was', 'observed', 'selectively', 'for', '$UNK$', 'but', 'not', 'for', 'bsa', '.']	4.722222222222222	[]	-1.0	0.0	0	0	0	0	0	0	18
7	11	['the', 'absolute', 'accuracy', 'of', 'stage', 'and', 'encoder', 'is', '$NUM$', '$UNK$', '.']	4.454545454545454	[]	-1.0	0.0	0	0	0	0	0	0	11
8	32	['the', 'cross-sectional', 'images', 'obtained', 'by', '$UNK$', 'were', 'analyzed', 'using', '$UNK$', 'software', '$UNK$', '$UNK$', 'oy', ',', 'jyvaskyla', ',', 'finland', '$UNK$', ',', 'which', 'automatically', 'identifies', 'cortical', 'and', 'trabecular', 'bone', 'and', 'assesses', 'its', 'density', '.']	5.625	['$UNK$', 'software', '$UNK$', 'oy']	5.0	12.5	1	1	1	1	0	0	28
9	27	"['ne', 'tissue', 'content', 'was', 'measured', 'using', 'a', 'ne', 'research', 'elisa', 'kit', '$UNK$', '$UNK$', 'diagnostics', 'gmbh', ',', 'kiel', ',', 'germany', '$UNK$', ',', '$UNK$', 'the', 'manufacturer', ""'s"", 'instructions', '.']"	4.777777777777778	['ne', 'research', 'elisa', 'kit', '$UNK$', 'diagnostics', 'gmbh']	5.428571428571429	25.925925925925924	1	2	1	3	0	0	20
